payer_name_norm,amount_usd
BAKTELEKOM MMC,"1,452,918,429"
FABERLEX LP,"169,291,640"
JETFIELD NETWORKS LIMITED,"104,797,289"
RIVERLANE LLP,"73,876,597"
SOVER DEVELOPMENT LLP,"46,845,653"
ELEKTROMASH MMC,"45,700,000"
LARKSTONE LIMITED,"37,520,038"
DELMOORE EXPRESS LLP,"37,375,323"
BENTCARD IMPORT LLP,"34,497,084"
DELOKALI LIMITED,"32,425,529"
